,Unnamed: 0,title,question_text,question_id,no_answers,context,id,question_type
15525,15525,City Slickers II: The Legend of Curly's Gold,What was curly's idea to attract tourists ?,f812a372-85af-2839-743b-c8b1524b19bf,True,"

Mitch awakens from a dream in which the old trailboss Curly from the first film, rises from the grave and drags him down. However, Mitch soon forgets the dream when the familiar voice of his Mom comes through the speakerphone, giving her recitation about the events that led to his birth, as today is Mitch's 40th birthday.Unlike his 39th, Mitch's outlook on life has changed. Going into work, he meets his friend Phil, who Mitch has gotten a job at the station in the wake of Phil's recent divorce. Phil admits he feels lonely in the wake of his divorce, and Mitch invites Phil to his place for his Birthday.On the train back, Mitch swears he sees Curly on the train, and discusses this with Phil. Phil believes that Mitch is seeing things, since they checked Curly before he was buried, and confirmed he was dead.When they arrive home, Mitch is shocked to find his younger brother Glen has arrived unexpectedly. Wanting to be alone with his wife, Mitch sends Glen home with Phil, but during the evening, Mitch looks through curly's belongings that he kept, and finds a map inside the old trailboss' hat.Showing it to Phil the next day, they analyze the map and surmise that it belonged to Curly's father, Lincoln Washburn. Hoping to find the treasure that is mentioned on it, Mitch and Phil head out West, bringing Glen along as well. Using the ruse that they are in Las Vegas, they rent equipment and head out to find the treasure.Unfortunately, Phil mentioned the treasure to the men who they rented the equipment from, who come after the group for the map. However, this is spoiled when a familiar face shows up! Mitch assumes his thoughts that Curly was not dead are correct, but their savior is Duke, Curly's brother. Duke had come looking for Mitch to get the map and claim his family's treasure.Mitch and Duke are first at odds with each other, but when Mitch explains to Duke how Curly explained his philosophy about life ('One thing, just one thing'), Duke is willing to let the men in on the treasure as well, provided that Duke gets half and the three of them have to split the other half amongst themselves.Eventually, the group is caught up in a stampeded, and the map is lost. Things seem grim until Glen tells the others that due to his photographic memory, he recalls the last part of the map's information.Eventually, the men find the gold, but are then set upon by bandits, who shoot Glen! However, it soon turns out that the bandits are just actors, when a familiar face shows up: Clay Stone, who was in charge of the ranch where Curly worked and where Mitch and his friends went the year before!Clay then provides the others with copies of a map exactly like what Curly had, claiming that this latest venture had been Curly's idea as a way to attract tourist: lead them on a treasure hunt and then be shot at by fake-bandits with paint pellets. Also, the gold is not real as well.With nothing left to find, Duke parts ways with the three men.Mitch returns to Las Vegas, preparing for Barbara to meet him there (having found out that he wasn't in Vegas for a business trip, Mitch has planned a last-minute reconciliation with her). However, Mitch is surprised when Duke shows up in his hotel room.It is here that Duke reveals a secret: the map that Curly had (and that was used for the tourist trap) had a piece missing from a corner. Duke then provides the missing corner, showing that the treasure was reburied a ways off.Mitch thinks that Duke is joking with him, until Duke reveals a solid-gold bar...the real thing! ""It's got friends,"" the old man tells Mitch.

",/m/08qb0q,what
15759,15759,30 Years to Life,How are the characters showing us about life at 30?,21b13283-b03a-fdef-46ee-f9915da87cba,True,"

First of all, the title does not refer to someone sentenced to jail. It is a movie about 6 lifetime friends who are all hitting the big `3-0' together during the same year. Each one looks inside themselves to see where has my life gone and what am I going to do with my future. Actually, what I saw was a black Seinfeld comedy. Tracy Morgan, who is one of the main characters, is a struggling comedian just like Jerry Seinfeld. He gives his opinion of what women want in a man in one of his comedy routines. Melissa De Sousa is looking for a man before time runs out. She is just like Elaine in Seinfeld. I don't remember the big problem with turning thirty, however, all the characters in this movie can show you what they are, such as not having fame, riches, a husband, a thin body, and staying young. Their life stories are probably repeated many times around the world. Douglas Young (the-movie-guy)

",/m/04gr_44,how
16016,16016,The Hitcher,Who were driven across New Mexico to meet her friends for spring break?,9cf8789b-73fd-f2a4-ff82-63143ad144ef,True,"Jim Halsey and Grace Andrews are driving across New Mexico to meet her friends for spring break. One night in the pouring rain, they almost hit a hitchhiker who is standing in the middle of the road near his broken down car. Jim swerves and the car spins out of control to a stop. As the man approaches, Grace insists that someone else will stop to help him and they speed off.
At a gas station, Jim sees the hitchhiker climb out of a truck. Inside, he introduces himself as John Ryder and asks for a ride. Reluctantly, Jim agrees. While on the road, the hitchhiker becomes violent and attacks them, holding a knife to Grace's eye. The hitchhiker tells Jim the only way to save them both is to say, ""I want to die."" Jim hits the brakes, causing the hitchhiker to hit his head on the windshield and kicks the hitchhiker repeatedly until Grace opens the passenger door and he is pushed out.
The following day while driving, a family in a station wagon pass them, with the hitchiker in the back. Jim and Grace try to warn the family, but crash their car. The couple is forced to continue on foot and they eventually find the family's car on the side of the road; both the children and mother are already dead, with the father badly wounded and slowly dying. Taking the station wagon, the couple head towards town hoping to take the man to a hospital. After the hitchhiker attempts to run them off the road, Jim and Grace stop at a cafe, where the man dies.
Suspected of committing the murders, Jim and Grace are arrested and brought to the police station. The hitchhiker arrives shortly after and kills everyone at the station except for Jim and Grace, who flee. Despite suspecting that there might be a third suspect, Lieutenant Esteridge continues to pursue the couple. The hitchhiker shows up and helps Jim and Grace escape the police, single-handedly take out all of the police cruisers and helicopter.
Grace and Jim arrive at a motel and Jim steps out of the room to make a phone call. He is gone for several hours and Grace falls asleep watching TV, but is woken by the hitchhiker, who tries to rape her. Grace manages to fight him off and hides in the bathroom.
The hitchhiker disappears and Grace searches for Jim. The motel manager sees her with a gun, and calls the police. Grace finds Jim who is chained between a truck and a trailer. Grace runs to the truck and points the gun at the hitchhiker, demanding he stop. The police arrive soon after (still thinking Grace and Jim are the killers), and see Grace holding the hitchhiker at gunpoint, but realize Jim is being tortured. The police tell her to drop the gun, and the hitchhiker tells Grace not to listen to them before driving forward and splitting Jim in half, killing him. The hitchhiker and Grace are apprehended by the police.
The next morning, Esteridge tells Grace, whose innocence has been proven, that the real John Ryder is missing and they do not know the true identity of the hitchhiker. He also informs her that he will be taking her to her parents and the hitchhiker will be transported across the state in a separate van. During the journey, the hitchhiker breaks free from his restraints, kills the guard who is watching him, and causes the van to crash after the driver loses control, also causing Esteridge and Grace to crash.
Esteridge is trapped in the car and Grace takes Esteridge's gun, and slowly makes her way to the van. Grace opens the van and the hitchhiker attacks her and locks her in the back. The hitchhiker shoots a pool of gasoline near the van, igniting it. Grace manages to get a shotgun from the front seat of the van and escapes as the van explodes. The hitchhiker shoots and kills Esteridge and walks away. However, Grace shoots the hitchhiker, killing him and ending his rampage.
",/m/026qc5f,who
16038,16038,Asterix and Cleopatra,What bet does the queen enters into with Caesar?,d1b90b6d-7f25-43dd-0734-1f5be4bded5c,True,"

After a heated argument with Julius Caesar over his lack of faith in the Egyptian people, Queen Cleopatra enters into a bet claiming that she can have a magnificent palace constructed for him in Alexandria within three months. She gives this enormous task to her best architect Edifis (despite his shortcomings), informing him that he will be covered with gold if he succeeds or thrown to the crocodiles if he fails. Daunted and distraught, believing the task to be insurmountable without some sort of magic, Edifis travels to Gaul to seek help from the famous druid Getafix.Getafix agrees to return to Egypt with Edifis, while Asterix and Obelix insist on accompanying them. Obelix further insists that Dogmatix be allowed to join the voyage and smuggles him along despite objections from Asterix. En route to Egypt, Edifis' ship is met by a gang of pirates. Poetic justice rules the day as the pirate ship is boarded by Asterix and Obelix, who scuttle it after a largely one-sided fight. Upon reaching Egypt, it becomes clear that Edifis is not a particularly gifted architect; in Cleopatra's words his buildings are the laughing stock of those who don't live in them. His scheming rival Artifis proposes that they collaborate in order to build Caesar's palace on time and divide the reward between them; the catch being that Edifis alone be thrown to the crocodiles should they fail. Edifis refuses and Artifis swears vengeance, angered further by the injuries he sustains while negotiating Edifis' house (which later collapses altogether).Artifis raises tensions amongst the construction workers by convincing them that they are being exploited by Edifis and encourages them to strike. To win them over and enhance their productivity, Getafix gives the workers his magic potion which enables them to continue effortlessly with the construction of the palace. Getafix refuses to give any to Obelix, much to his disgruntlement. Building progress becomes so rapid that the labourers exhaust their supplies of stone; Artifis has bribed the supplier to dump the subsequent shipment into the Nile and the Gauls are forced to escort a fleet of ships to fetch more. Sightseeing en route, the trio visit the Pyramids at Giza. In his attempt to scale the Sphinx, Obelix provides an outlandish hypothesis as to how the monument came to be without a nose. The Gauls are intercepted by Artifis' sidekick Krukhut, who poses as a guide with the intention of getting the Gauls lost during a tour of the Great Pyramid. Trapped deep within the pyramid, Getafix gives Obelix his first taste of magic potion, presumably to give him the strength to break them out. The Gauls fail to negotiate the maze, but eventually escape after being heroically tracked by Dogmatix. Undeterred, Artifis and Krukhut make a further attempt to prevent the stone reaching its destination by hiring the same gang of pirates seen earlier in the film to attack the fleet on its return to Alexandria. A short second encounter with the pirates alleviates Obelix's boredom, despite their cowardly attempt at retreat. In a final effort to stop the three Gauls, Artifis frames them for an attempt to poison Cleopatra with the gift of a cake made from such ingredients as arsenic, strychnine and vitriol. Asterix, Obelix and Getafix are thrown into the dungeon after the Queen's taster becomes ill from eating the cake. Fortunately, Getafix carries an antidote that enables them to eat the remainder of the cake (giving the impression that it was in fact harmless) as well as curing the taster. The Gauls are pardoned and catch Artifis and Krukhut; their punishment is to work for Edifis as labourers.Cleopatra gloats over the likelihood of winning her bet to Caesar, who fears he will lose face with her should she get the better of him and instructs his spy to infiltrate the building site. Learning that the Gauls and their magic potion are involved, Caesar orders his three mercenaries to kidnap Getafix and imprison him. Two of the mercenaries are caught by Asterix and Obelix, who learn of what has happened to Getafix and promptly free him. In desperation, Caesar holds the construction site under siege and bombards the unfinished palace with boulders. Cleopatra intervenes, forcing Caesar to lift the siege and despite the damage, the palace is completed on schedule. Edifis is honoured and the Gauls are escorted home aboard Cleopatra's luxury ship, much to the displeasure of the sacred crocodiles.

",/m/0kvczm,what
16184,16184,Chandni,Chandni and Rohit were in love?,0d9718bd-4abb-4670-6703-bc35cc8195cc,True,"

Chandni is my name. Chandni is my life. Chandni is my dream.There are not merely words. They are the lives of three people, inter woven together - Chandni, Rohit and Lalit's. Three names, three hearts, three dreams and one emotion - Love. From time immemorial whenever this word has been spoken, the winds have carried its fragrance, the flowers have bloomed with its beauty and lips have sung its songs.Love came to Chandni and Rohit in one breathless moment when they first saw each other. The hustle and bustle of people around them faded away as if time itself had stopped. They reached out to each other and tried to fill their hands with the happiness of a lifetime. But happiness is elusive. It cannot be caught, not even by young lovers. In one cruel stroke, fate seperated them. Chandni was left heart broken and her dreams dispersed. She then gathered the memories of her love together and stepped out to face the world and into a new life.And then she met Lalit. Lalit, whose past contained tragic memories of a first love. Memories, which lived with him. Memories, which even today shadowed his eyes and stilled the smile on his lips. But after he met Chandni, the sad memories receded into the distant past and the shadows were replaced by her radiance.Lalit, a supportive presence and the unspoken affection that blazed from his eyes gave a new direction to Chandni's life. But she found herself standing at a crossroad. In one direction was Rohit and her past. In the other was Lalit and the present and in the third was a future that was unknown to all three.They were all pawns in the game of fate. A game that was past truth, past illusion, past reality, past dreams. One thing was certain that truth and faith would prevail and in the end there would be only one winner. LOVE.

",/m/0bkfv_,NaN
16191,16191,Chandni,Did Chandhani have a difficult choice to make?,6e93ee11-fe0a-a9db-637c-9351009c197e,True,"

Chandni is my name. Chandni is my life. Chandni is my dream.There are not merely words. They are the lives of three people, inter woven together - Chandni, Rohit and Lalit's. Three names, three hearts, three dreams and one emotion - Love. From time immemorial whenever this word has been spoken, the winds have carried its fragrance, the flowers have bloomed with its beauty and lips have sung its songs.Love came to Chandni and Rohit in one breathless moment when they first saw each other. The hustle and bustle of people around them faded away as if time itself had stopped. They reached out to each other and tried to fill their hands with the happiness of a lifetime. But happiness is elusive. It cannot be caught, not even by young lovers. In one cruel stroke, fate seperated them. Chandni was left heart broken and her dreams dispersed. She then gathered the memories of her love together and stepped out to face the world and into a new life.And then she met Lalit. Lalit, whose past contained tragic memories of a first love. Memories, which lived with him. Memories, which even today shadowed his eyes and stilled the smile on his lips. But after he met Chandni, the sad memories receded into the distant past and the shadows were replaced by her radiance.Lalit, a supportive presence and the unspoken affection that blazed from his eyes gave a new direction to Chandni's life. But she found herself standing at a crossroad. In one direction was Rohit and her past. In the other was Lalit and the present and in the third was a future that was unknown to all three.They were all pawns in the game of fate. A game that was past truth, past illusion, past reality, past dreams. One thing was certain that truth and faith would prevail and in the end there would be only one winner. LOVE.

",/m/0bkfv_,do
16311,16311,Everything Must Go,What does he use to stab his supervisor's car tires,9207313f-b17c-c06d-1e49-91890ec3984c,True,"

Salesman Nick Halsey (Will Ferrell) is fired from his job of 16 years following an unspecified incident in Denver related to his alcoholism. He sits in the parking garage after leaving the office, drinking from a flask. He then takes the Swiss Army Knife he was given as a farewell gift and stabs it into his supervisor's car tires, only to leave the knife (which has his name on it) and run away when he is unable to pull it back out from the tire. He immediately drives to a convenience store and buys a large amount of beer. When he returns home, he finds his wife is gone, the locks have been changed, and his belongings have been strewn all over his front lawn. His wife has left him a letter telling him that she is leaving him, also over the Denver incident, and to not contact her.Nick spends the night on the lawn. In the morning, he leaves to buy beer and food, returning to find his company car being taken back. In addition, his credit cards no longer work, he has been blocked from the joint checking account he has with his wife, and his phone service is terminated. When the police ask him to vacate the premises, Nick gets them to contact his AA sponsor, Detective Frank Garcia (Michael Peña), who provides him with a permit for a yard sale, allowing him three more days before he must move on. Nick gets a neighborhood boy, Kenny (Christopher Jordan Wallace), to help him sell his possessions, assuring Kenny he will pay him for the help, and also that he will teach him to play baseball. The first day's sale is unsuccessful as Nick is unwilling to let items go.Nick meets his new neighbor Samantha (Rebecca Hall), and invites her to his backyard. There, he tells her that he had been sober for six months until attending a conference in Denver, during which he had gotten blackout drunk with a female coworker; he awoke with no memory of the night before, and soon learned that she had lodged a complaint against him, setting the stage for his firing.Nick then finds a yearbook with a friendly message from an old classmate, Delilah (Laura Dern), whom he tracks down and visits. The reunion is awkward, but Delilah nevertheless gives Nick a hug and tells him that he is a good person deep down.Now completely broke, Nick has to go without alcohol and soon experiences withdrawal. Samantha gives him a Valium and tells him that he needs help. He replies that she is no better than him because she puts up with her husband's drinking and frequent absences. Samantha storms off, angry and hurt.The next morning Nick awakes to find Kenny has arranged his belongings on the lawn and has put price tags on them. Most of the things get sold by that evening. Nick apologizes to Samantha, who admits that he was right and that she had told her husband to come home or get a divorce. She, Nick and Kenny then go out to dinner. During dinner Nick encounters his supervisor, who explains that the incident in Denver probably did not happen since the female employee he got drunk with tried blackmailing other employees, and that Nick probably would have gotten his job back if he had not slashed the supervisor's tires. Nick expresses little reaction to this news, but when the supervisor leaves a glass of beer in the restroom, Nick takes it back to him without drinking a drop. After dinner, Nick meets with Frank, and learns his wife has been staying with Frank ever since she left him. It is also divulged that both Nick and his wife were recovering alcoholics, and his wife was successful in her giving up the addiction, whereas he was not. Frank and Nick have a fight, and after it is over Frank explains to Nick that his wife deserves a better life with someone who is sober. He gives Nick the divorce papers for him to sign, along with some money and a key to the house. Nick tells Frank to drop him off on the nearest curb and he walks home the rest of the way, at one point stopping to look into the convenience store where he regularly bought beer, but moves on. The next day, he gives away the last items he did not sell and shares a hug with Samantha.

",/m/0cc15cb,what
16320,16320,Vera Drake,Why does Susan need to get in contact with a doctor who does abortions?,b6991430-8f4b-a3f1-9068-80c8020255a8,True,"

Vera Drake (Imelda Staunton) is tirelessly devoted to her family, looking after her husband and children, her elderly mother, and a sick neighbour. Vera's daughter Ethel (Alex Kelly) works in a factory, and her son Sid (Daniel Mays) tailors men's suits. Her husband Stanley (Phil Davis) is a car mechanic. Although Vera and her family do not live lavishly, their strong family bonds hold them together.Vera works as a house cleaner. However, unbeknown to her family, she also serves as a backroom abortionist. She receives no money for this, believing her help to be an act of generosity, though her partner Lily (Ruth Sheen), a hard-bitten wheeler-dealer who also carries on a black-market trade in scarce postwar foodstuffs, does charge for arranging the abortions without Vera's knowledge. We are also introduced to a character named Susan (Sally Hawkins), who is the daughter of one of Vera's employers and whose story is one of the film's subplots. Susan is raped by a man she was dating, becomes pregnant, and asks a friend to put her in contact with a doctor who performs abortions. In Susan's case, the psychiatrist helpfully prompts her with the correct answers, so that he can recommend her abortion on the grounds that she might be desperate enough to harm herself.The sums of money might seem rather small to modern viewers, but two guineas in 1950 would be £48 in 2005. A hundred guineas, the price of a psychiatrist-approved abortion, would be £2400.

",/m/04qw17,why
16374,16374,The Sisterhood of the Traveling Pants,Why did Brash Bridget returns her love?,6c78a0f4-2af3-3385-da56-a9ff9adf537c,True,"

The movie follows four teenage girls during a summer in which each goes through a crucial life experience. They succeed due to their loyal support of each other, symbolized by a pair of jeans (the ""Travelling Pants"") that they take turns wearing.Shy Lena visits European relatives on an picturesque Greek island. She falls in love with a sensitive boy in spite of the fact that their families are having an old-fashioned feud. She learns to assert herself and finally wins the family's permission for a final meeting with her lover.Brash Bridget, an athlete, goes to sports camp and is attracted to one of the coaches. He returns her love but is more concerned with keeping his job, which he will lose if they are caught. Bridget pursues him anyway and persuades him to make love to her on a beach. He panics and breaks off the relationship, and she realizes that she has thrown away her virginity for nothing (The sexual contact is off-screen and implied, rather than stated as a fact.).Tibby, a sour-tempered girl, decides to make a ""suckumentary"" with her video tools, expressing her view of the world. During the summer she befriends Bailey, a girl who turns out to be dying from leukemia. After Bailey's death, Tibby is as bitter at life as ever, but discovers that Bailey left behind a video message, thanking Tibby for her friendship and urging her not to let Bailey's tragedy blight her life.Carmen, an emotional girl with low self-esteem, visits her estranged father and discovers that he is marrying a divorcee with teenagers of her own. Although they are blandly polite, Carmen feels like an outsider and suspects that they resent her ""intrusion"", and so she finally turns home. The Sisterhood urge her to attend the wedding anyway, loaning her the ""magic"" jeans and coming along for moral support. Her father spots her in the audience and invites her to stand with him at the altar as he marries, and she feels accepted after all.
",/m/0d1n0q,why
16375,16375,The Sisterhood of the Traveling Pants,what did Carmen'sfather told her?,d9b16e50-70b9-c80d-06aa-47efb93edcf6,True,"

The movie follows four teenage girls during a summer in which each goes through a crucial life experience. They succeed due to their loyal support of each other, symbolized by a pair of jeans (the ""Travelling Pants"") that they take turns wearing.Shy Lena visits European relatives on an picturesque Greek island. She falls in love with a sensitive boy in spite of the fact that their families are having an old-fashioned feud. She learns to assert herself and finally wins the family's permission for a final meeting with her lover.Brash Bridget, an athlete, goes to sports camp and is attracted to one of the coaches. He returns her love but is more concerned with keeping his job, which he will lose if they are caught. Bridget pursues him anyway and persuades him to make love to her on a beach. He panics and breaks off the relationship, and she realizes that she has thrown away her virginity for nothing (The sexual contact is off-screen and implied, rather than stated as a fact.).Tibby, a sour-tempered girl, decides to make a ""suckumentary"" with her video tools, expressing her view of the world. During the summer she befriends Bailey, a girl who turns out to be dying from leukemia. After Bailey's death, Tibby is as bitter at life as ever, but discovers that Bailey left behind a video message, thanking Tibby for her friendship and urging her not to let Bailey's tragedy blight her life.Carmen, an emotional girl with low self-esteem, visits her estranged father and discovers that he is marrying a divorcee with teenagers of her own. Although they are blandly polite, Carmen feels like an outsider and suspects that they resent her ""intrusion"", and so she finally turns home. The Sisterhood urge her to attend the wedding anyway, loaning her the ""magic"" jeans and coming along for moral support. Her father spots her in the audience and invites her to stand with him at the altar as he marries, and she feels accepted after all.
",/m/0d1n0q,what
16378,16378,The Sisterhood of the Traveling Pants,What does the movie tell us?,b4c6b399-b929-f4e1-46ad-d0c53e8bdefb,True,"

The movie follows four teenage girls during a summer in which each goes through a crucial life experience. They succeed due to their loyal support of each other, symbolized by a pair of jeans (the ""Travelling Pants"") that they take turns wearing.Shy Lena visits European relatives on an picturesque Greek island. She falls in love with a sensitive boy in spite of the fact that their families are having an old-fashioned feud. She learns to assert herself and finally wins the family's permission for a final meeting with her lover.Brash Bridget, an athlete, goes to sports camp and is attracted to one of the coaches. He returns her love but is more concerned with keeping his job, which he will lose if they are caught. Bridget pursues him anyway and persuades him to make love to her on a beach. He panics and breaks off the relationship, and she realizes that she has thrown away her virginity for nothing (The sexual contact is off-screen and implied, rather than stated as a fact.).Tibby, a sour-tempered girl, decides to make a ""suckumentary"" with her video tools, expressing her view of the world. During the summer she befriends Bailey, a girl who turns out to be dying from leukemia. After Bailey's death, Tibby is as bitter at life as ever, but discovers that Bailey left behind a video message, thanking Tibby for her friendship and urging her not to let Bailey's tragedy blight her life.Carmen, an emotional girl with low self-esteem, visits her estranged father and discovers that he is marrying a divorcee with teenagers of her own. Although they are blandly polite, Carmen feels like an outsider and suspects that they resent her ""intrusion"", and so she finally turns home. The Sisterhood urge her to attend the wedding anyway, loaning her the ""magic"" jeans and coming along for moral support. Her father spots her in the audience and invites her to stand with him at the altar as he marries, and she feels accepted after all.
",/m/0d1n0q,what
16379,16379,The Sisterhood of the Traveling Pants,Shy Lena falls in love with whom?,a6e436ba-d37e-2e11-579e-6a6e6d62c0cb,True,"

The movie follows four teenage girls during a summer in which each goes through a crucial life experience. They succeed due to their loyal support of each other, symbolized by a pair of jeans (the ""Travelling Pants"") that they take turns wearing.Shy Lena visits European relatives on an picturesque Greek island. She falls in love with a sensitive boy in spite of the fact that their families are having an old-fashioned feud. She learns to assert herself and finally wins the family's permission for a final meeting with her lover.Brash Bridget, an athlete, goes to sports camp and is attracted to one of the coaches. He returns her love but is more concerned with keeping his job, which he will lose if they are caught. Bridget pursues him anyway and persuades him to make love to her on a beach. He panics and breaks off the relationship, and she realizes that she has thrown away her virginity for nothing (The sexual contact is off-screen and implied, rather than stated as a fact.).Tibby, a sour-tempered girl, decides to make a ""suckumentary"" with her video tools, expressing her view of the world. During the summer she befriends Bailey, a girl who turns out to be dying from leukemia. After Bailey's death, Tibby is as bitter at life as ever, but discovers that Bailey left behind a video message, thanking Tibby for her friendship and urging her not to let Bailey's tragedy blight her life.Carmen, an emotional girl with low self-esteem, visits her estranged father and discovers that he is marrying a divorcee with teenagers of her own. Although they are blandly polite, Carmen feels like an outsider and suspects that they resent her ""intrusion"", and so she finally turns home. The Sisterhood urge her to attend the wedding anyway, loaning her the ""magic"" jeans and coming along for moral support. Her father spots her in the audience and invites her to stand with him at the altar as he marries, and she feels accepted after all.
",/m/0d1n0q,who
16428,16428,In the Cut,What was the detective's name and what was he investigating?,cddeeb5f-98e4-af4c-2392-638d6963f056,True,"High school teacher and writer Frannie Avery meets a student at a local bar, and when she heads to the bathroom sees a woman performing oral sex on a man. A few days later, Detective Giovanni Malloy questions her as he investigates the gruesome murder of a young woman, whose severed limb was found in her garden. They flirt despite the grisly nature of their introduction, and meet at the same bar later. Frannie is alternately thrilled and frightened by the detective's sexual aggressiveness, even as she grows more disillusioned with the attitudes and crude behavior of other men, including the detective's partner, Richard Rodriguez. Even as Malloy defends his partner, who can no longer carry a gun because he threatened his unfaithful wife, he promises he will do anything she wants except hit her. She leaves abruptly and is assaulted walking home, but calls Malloy and their affair begins that night.
Frannie recognizes the detective's tattoo, from the man in the basement of the bar, and asks her sister Pauline if she would trust a man who got a blow job in a bar. Pauline says yes, but Frannie is still suspicious. After Malloy tells her that she and the first victim were in the same bar the night of the murder, and she might have seen the murderer, she begins to suspect that Malloy may actually be the killer, especially after a second victim is found. But later she goes with him to a woodsy spot by the water, where he scares her by shooting at garbage bags floating on the surface, then tells her she should learn how to shoot. She surprises herself by taking aim and shooting well, before they head back to the city.
She finds her old boyfriend in her bed when she gets home, and goes back to her sister's apartment, where she finds the door open and Pauline's dismembered body. She is now more frightened of Malloy than ever, but goes home and gets drunk, and almost stumbles into bed with her student before throwing him out. Malloy's partner is outside watching as the young man runs out, and Frannie shouts out the window that Malloy should stay away from her. But he comes over and helps her clean herself up, and she can't decide if she should trust him. So she cuffs him to a pipe and makes love to him, and as soon as she is done he starts rattling the cuffs, demanding to be set free. She is fishing in his jacket for the keys when she finds the missing charms from her bracelet, which he claims he found and was planning to return to her. She suddenly becomes very suspicious of him, and he gets scared and yells at her. She finally tells Malloy she saw his tattoo in the basement of the bar when he was getting a blow job, and she runs out, stumbling right into his partner's arms. Frannie tells Rodriguez what she saw, and he says they need to sit down and talk, so she gets in his car. Malloy's screams from the window are ignored.
Rodriguez drives her out to the GW bridge, telling her this is the place he goes to fish, and she says, ""I teach that book, To the Lighthouse."" But as soon as he locks the gate behind them she knows she is in trouble, and he shows her the tattoo on his arm, the twin of Malloy's. She realizes Malloy is innocent, then she slips on his jacket before Rodriguez takes her in his arms. She shoots him once with Malloy's gun but he tries to strangle her before she can shoot him again; they fall, and he dies. She walks, bloodied, back to her apartment and lies down in the arms of the exhausted Malloy, still cuffed to the pipe where she left him.
",/m/0348n5,what
16678,16678,In America,What was the condition of Sarah's baby?,59569813-6259-51b8-4f9b-6f10e33b9d13,True,"In 1982, Johnny and Sarah Sullivan and their daughters Christy and Ariel enter the United States on a tourist visa via Canada, where Johnny was working as an actor. The family settles in New York City, in a rundown Hell's Kitchen tenement occupied by drug addicts, transvestites, and a reclusive Nigerian artist/photographer named Mateo Kuamey. Hanging over the family is the death of their five-year-old son Frankie, who died from a brain tumor. The devout Roman Catholic Johnny questions God and has lost any ability to feel true emotions, which has affected his relationship with his family. Christy believes she has been granted three wishes by her dead brother, which she only uses at times of near-dire consequences for the family as they try to survive in New York.
After finding the apartment, Sarah gets a job in the local ice cream parlor to support the family while Johnny auditions for any role for which he is suited, with no success. Despite their poverty, the initial joy of being in the United States and the closeness of the family gives them the energy to make the most of what they have, and Christy chronicles the events of their life with a cherished camcorder. But as money runs low and the city's temperatures soar, tensions between Johnny and Sarah begin to rise with them. Not helping their financial and emotional strain is the discovery that Sarah is pregnant. Johnny finds work as a cab driver to augment their income and help pay for the girls' Catholic school tuition.
On Halloween, the girls become friendly with Mateo when they knock at his door to trick-or-treat. Despite Johnny's reticence about the somewhat imposing and forbidding man, Sarah invites him to their apartment for dinner, and eventually they learn that the man is sad and lonely because he is dying of AIDS.
Later, Mateo falls down a flight of stairs and is knocked unconscious. Christy tries to resuscitate him using CPR, although she is warned away from him by the other residents, who seem to be aware that he is HIV-positive. The man's condition continues to deteriorate as Sarah's fetus develops. The baby is born prematurely and in poor health, and is in need of a blood transfusion. Johnny and Sarah are ultimately nervous not only about the baby's survival chances, but also of the skyrocketing hospital bills that will now need to be paid following the baby's delivery, causing Sarah to have a brief nervous breakdown and blame Johnny for Frankie's death, and tearfully berates him.
However, after calming her down, Johnny and Sarah agree to the blood transfusion but without giving the baby ""bad blood,"" as using hospital blood banks was the source of Mateo's contraction of HIV. Shortly, it is discovered that Christy has a compatible blood type to donate with, and Mateo's death coincides with the first healthy movements of the infant following a blood transfusion from Christy. After the successful operation, the family is startled to learn that Mateo had settled and paid for their astronomical hospital bill before he had died, upon the discovery that Mateo was in possession of a large trust fund he never spent. In return for his generous act, they give the newborn baby girl the middle name of Mateo in gratitude and to honour his memory.
With the birth of the new baby and the death of Mateo, Johnny finally is able to overcome his lack of emotion and put his grieving for Frankie to rest. He also finally catches a break by getting a small role in A Chorus Line on Broadway. The film ends after a baby shower at the apartment is held for the Sullivan family with many of the apartment tenants present to celebrate, and Christy and the rest of her family overlook the view of the city and look out for Mateo in the night's sky.
",/m/02d44q,what
